Aufgestellt;Info;Spieler;Antritt;Beweglichkeit;Balance;Sprunghöhe;Grundfitness;Schnelligkeit;Ausdauer;Kraft
TW;RPR;Pierce Charles;12;13;9;14;15;14;4;12
V (Z);;Botond Balogh;13;13;11;14;13;16;14;13
FV (R);;Fabio Baldé;16;13;10;10;13;17;12;10
DM;;Jens Hjertø-Dahl;11;13;14;15;13;12;16;14
DM;;Abakar Sylla;14;13;14;15;15;14;13;15
FV (L);Vin;Jorge Salinas;13;14;12;15;14;13;15;13
OM (Z);;Tommaso Baldanzi;14;16;14;6;10;13;14;8
OM (Z);;Alvyn Sanches;12;14;11;9;14;13;12;9
ST (Z);;Justin Diehl;16;16;12;5;8;18;11;8
ST (Z);;Mamadou Doumbia;12;13;15;14;17;13;13;14
ST (Z);;Darwin Guagua;14;13;6;10;14;13;9;6
E1;;Filippo Rinaldi;12;11;12;14;14;10;10;12
E2;;Alessandro Circati;13;12;13;14;14;13;14;14
E3;RPR;Skelly Alvero;12;13;15;18;12;13;14;16
E4;;Mariano Troilo;13;10;9;16;14;11;13;16
E5;Vin;Genesis Antwi;17;9;11;15;13;16;12;9
E6;;Sascha Britschgi;14;13;11;11;13;16;14;9
E7;;Christian Ordoñez;13;14;13;10;14;13;14;12
E8;RPR;Noah Darvich;13;13;13;10;12;13;13;10
E9;;Sinclair Armstrong;17;14;12;12;11;17;10;16
E10;;Sami Bouhoudane;15;14;13;7;14;15;9;9
E12;;Justin Clarke;19;13;6;6;13;15;10;11
E13;;Mario Balotelli;8;10;15;14;16;9;8;17
E14;;Ciro Immobile;11;11;11;11;13;11;9;11
-;Ver;Bahmed Deuff;12;13;13;16;13;12;12;12
-;;Tjaš Begić;13;13;11;7;12;13;13;10
-;;Yira Sor;17;16;6;7;9;18;13;5
-;;Daniel Sumbu;13;11;13;12;13;15;11;12
