Aufgestellt;Info;Spieler;Aggressivität;Antizipation;Mut;Nervenstärke;Konzentration;Entscheidungen;Zielstrebigkeit;Flair;Führungsqualitäten;Ohne Ball;Stellungsspiel;Teamwork;Übersicht;Einsatzfreude
TW;RPR;Pierce Charles;12;14;14;11;12;12;7;3;12;3;13;12;13;9
V (Z);;Botond Balogh;14;13;15;12;13;12;13;9;11;9;14;14;12;14
FV (R);;Fabio Baldé;11;9;8;8;8;9;13;13;8;9;7;11;10;10
DM;;Jens Hjertø-Dahl;9;13;11;14;13;13;15;11;10;13;13;15;13;13
DM;RPR;Abakar Sylla;18;11;16;10;8;10;12;11;17;12;12;14;8;14
FV (L);Vin;Jorge Salinas;15;13;13;14;15;12;13;10;14;12;14;14;10;14
OM (Z);;Tommaso Baldanzi;10;14;12;13;13;13;14;15;7;15;5;13;14;14
OM (Z);;Alvyn Sanches;7;13;9;14;11;13;12;16;6;12;8;12;13;12
ST (Z);RPR;Justin Diehl;12;9;8;9;8;9;12;17;3;11;4;8;11;8
ST (Z);nEU;Mamadou Doumbia;13;19;10;15;12;12;8;13;3;14;11;11;12;12
ST (Z);RPR;Darwin Guagua;5;12;9;7;9;13;13;13;5;15;8;8;10;10
E1;;Filippo Rinaldi;8;12;11;9;12;11;13;3;9;2;12;7;7;9
E2;;Alessandro Circati;14;14;13;14;13;13;14;11;12;12;14;11;10;13
E3;RPR;Skelly Alvero;13;13;15;12;11;12;12;14;7;9;13;13;12;15
E4;;Mariano Troilo;15;14;13;12;12;12;13;10;10;12;12;11;10;11
E5;Vin;Genesis Antwi;10;8;3;9;7;8;4;8;1;7;8;12;8;12
E6;RPR;Sascha Britschgi;14;10;12;11;12;10;13;9;8;12;11;13;7;13
E7;nEU;Christian Ordoñez;14;14;13;13;12;13;13;11;8;13;13;15;12;14
E8;RPR;Noah Darvich;10;11;10;11;9;12;14;17;13;11;8;13;13;13
E9;RPR;Sinclair Armstrong;13;13;12;10;8;10;14;13;11;13;7;10;10;13
E10;Vin;Sami Bouhoudane;5;13;6;11;10;14;15;13;4;15;4;9;8;11
E12;RPR;Justin Clarke;10;6;5;7;8;5;15;11;10;11;3;7;5;6
E13;Vsp;Mario Balotelli;11;11;10;13;7;12;15;17;7;11;3;4;13;6
E14;RPR;Ciro Immobile;14;16;15;14;14;11;20;12;16;17;6;16;12;17
-;Ver;Bahmed Deuff;12;12;10;10;12;11;13;10;8;11;11;13;10;12
-;;Tjaš Begić;9;12;9;12;13;11;8;12;7;14;8;13;12;13
-;RPR;Yira Sor;6;10;7;9;8;10;11;12;6;13;5;9;10;9
-;Ver;Daniel Sumbu;9;12;13;11;11;10;9;7;7;15;6;10;11;12
