Aufgestellt;Info;Spieler;Ecken;Flanken;Abschluss;Ballannahme;Freistöße;Kopfballtechnik;Weitschüsse;Weite Einwürfe;Passen;Elfmeter;Tackling;Technik
TW;RPR;Pierce Charles;2;3;2;12;6;3;2;2;13;2;2;6
V (Z);;Botond Balogh;5;9;7;12;5;14;7;9;13;5;13;13
FV (R);;Fabio Baldé;8;13;8;9;7;7;8;7;8;10;6;12
DM;;Jens Hjertø-Dahl;6;9;12;14;8;12;14;4;14;7;12;14
DM;RPR;Abakar Sylla;6;6;8;12;8;14;9;9;11;8;13;12
FV (L);Vin;Jorge Salinas;8;12;6;10;7;16;7;11;10;7;14;11
OM (Z);;Tommaso Baldanzi;12;11;13;15;12;9;14;4;14;12;7;15
OM (Z);;Alvyn Sanches;12;12;14;16;8;6;12;4;13;10;5;16
ST (Z);RPR;Justin Diehl;12;9;8;12;12;6;11;5;10;11;4;13
ST (Z);nEU;Mamadou Doumbia;11;8;13;12;11;16;13;8;12;9;6;12
ST (Z);RPR;Darwin Guagua;9;11;7;14;8;7;9;7;11;4;11;15
E1;;Filippo Rinaldi;3;2;2;8;5;7;3;3;8;2;1;8
E2;;Alessandro Circati;6;9;7;11;5;15;8;14;12;7;14;10
E3;RPR;Skelly Alvero;2;7;8;13;7;13;10;8;13;12;13;13
E4;;Mariano Troilo;4;5;7;11;4;16;7;8;12;10;13;11
E5;Vin;Genesis Antwi;9;9;8;10;4;7;3;10;8;3;8;10
E6;RPR;Sascha Britschgi;6;10;5;12;5;8;6;12;12;10;12;12
E7;nEU;Christian Ordoñez;7;9;7;12;8;10;12;9;13;13;12;12
E8;RPR;Noah Darvich;13;11;8;13;13;8;12;6;14;13;8;15
E9;RPR;Sinclair Armstrong;6;8;10;10;7;8;9;5;9;9;5;13
E10;Vin;Sami Bouhoudane;11;6;15;14;15;13;12;7;11;7;5;13
E12;RPR;Justin Clarke;9;13;9;7;7;5;5;4;4;3;8;10
E13;Vsp;Mario Balotelli;9;12;16;14;14;14;15;5;12;17;5;15
E14;RPR;Ciro Immobile;4;4;17;13;4;13;12;4;12;18;6;12
-;Ver;Bahmed Deuff;10;10;10;13;9;14;12;7;12;9;12;13
-;;Tjaš Begić;8;12;12;12;8;6;12;6;13;6;7;14
-;RPR;Yira Sor;4;10;11;13;6;6;7;3;11;7;6;12
-;Ver;Daniel Sumbu;7;9;11;11;6;10;9;6;10;8;8;10
