Aufgestellt;Info;Spieler;Aggressivität;Antizipation;Mut;Nervenstärke;Konzentration;Entscheidungen;Zielstrebigkeit;Flair;Führungsqualitäten;Ohne Ball;Stellungsspiel;Teamwork;Übersicht;Einsatzfreude
TW;;Xaver Schlager;16;14;16;14;16;14;17;10;16;11;14;18;14;17
V (R);U20;Marco Palestra;10;14;12;12;13;13;13;9;11;14;12;13;10;13
V (Z);Bed;Gianluca Mancini;19;15;15;14;15;13;18;8;16;10;15;17;11;16
V (Z);Vin;Evan N'Dicka;15;16;16;14;14;13;16;8;11;8;15;13;11;13
V (L);;Angeliño;15;14;12;13;11;13;13;13;6;14;12;15;14;15
DM;;Manu Koné;17;16;16;13;13;14;16;15;11;14;14;15;13;17
DM;;Jonas Urbig;10;12;13;13;13;12;16;10;12;8;13;13;13;12
OM (R);;Matías Soulé;13;13;11;13;13;12;16;17;10;13;9;13;15;13
OM (Z);;Nico Paz;7;14;11;14;13;14;16;16;10;13;6;13;17;12
OM (L);Vin;Rayane Bounida;7;11;12;11;10;10;13;17;4;12;4;9;14;11
ST (Z);;Donyell Malen;11;14;8;13;10;11;13;14;7;14;6;11;12;13
E1;U20;Pierluigi Gollini;11;13;14;13;10;11;14;3;11;3;14;13;8;13
E2;nEU;Saud Abdulhamid;12;12;12;12;12;12;15;11;9;13;10;12;13;15
E3;;Karim Coulibaly;16;13;15;11;11;11;14;10;11;9;13;12;12;13
E4;;Lorenzo Venturino;11;13;14;12;12;11;14;10;7;14;13;15;13;12
E5;U20;Daniele Ghilardi;12;14;14;13;13;13;14;10;10;12;14;14;11;14
E6;;Bryan Cristante;10;15;16;14;13;13;14;8;14;14;16;17;14;16
E7;Vin;Andrej Kramarić;13;13;11;16;12;13;15;16;14;12;8;12;14;12
E8;;Kerim Alajbegović;12;14;12;12;12;13;13;17;9;13;7;11;13;11
E9;Vin;Niccolò Pisilli;13;13;13;12;13;13;14;10;11;13;11;14;12;14
E10;U20;Mario Hermoso;16;15;16;13;13;13;15;10;13;11;15;15;13;16
E12;U20;Devyne Rensch;6;12;12;12;12;12;15;14;11;13;13;15;12;13
;Vin;Anass Salah-Eddine;12;11;14;12;11;10;13;12;9;12;10;15;11;15
;U20;Pietro Teixeira Falcetta;8;12;8;9;9;10;7;11;7;13;7;11;11;9
;Anf;Robinio Vaz;16;11;11;12;10;12;14;12;7;13;9;12;12;14
-;Vin;Balagie Darboe;10;7;9;4;7;13;12;5;9;8;8;9;8;9
-;Vin;Alessandro Romano;8;12;10;12;10;11;9;12;9;10;10;12;13;12
