Aufgestellt;Info;Spieler;Antritt;Beweglichkeit;Balance;Sprunghöhe;Grundfitness;Schnelligkeit;Ausdauer;Kraft
TW;;Florian Kastenmeier;8;13;12;16;16;10;11;13
V (R);;Ilario Monterisi;14;13;12;15;13;14;13;13
V (Z);;Jay Idzes;12;12;13;14;13;12;14;14
V (Z);;Tarik Muharemović;12;12;13;15;11;12;15;13
V (L);;Ben Chilwell;14;11;15;11;14;13;14;13
DM;;Nemanja Matić;7;7;15;16;10;9;11;16
M (Z);nEU;Matvey Kislyak;14;14;14;9;13;13;14;9
M (Z);;Domenico Berardi;13;12;11;9;14;12;12;9
OM (R);;Nestory Irankunda;17;16;12;8;12;18;11;11
OM (L);nEU;Silas;16;14;12;13;10;17;12;12
ST (Z);;Stefanos Tzimas;15;13;12;13;12;15;13;12
E1;;Stefano Turati;11;12;11;14;12;12;13;12
E2;;Giacomo Satalino;12;13;12;14;12;11;12;11
E3;;Tommaso Barbieri;13;13;13;8;13;13;14;12
E4;;Andrea Carboni;13;13;12;15;11;13;13;14
E5;Vin;Cas Odenthal;12;12;13;14;14;12;14;13
E6;Vin;Ruan Tressoldi;14;14;15;16;14;15;15;15
E7;Ver;Almugera Kabar;14;11;14;13;11;16;13;15
E8;Vsp;Matteo Francesconi;12;12;13;12;8;12;15;13
E9;;Luca Lipani;12;13;13;14;13;13;14;11
E11;Zie;Eric da Silva Moreira;15;13;12;12;16;16;13;12
E12;;Antonio Vergara;14;14;13;11;11;14;14;11
E13;;Mattia Liberali;14;14;14;6;14;13;11;9
E14;;Petar Ratkov;12;9;15;16;14;15;12;15
E15;;Laurs Skjellerup;12;9;15;16;12;15;11;15
-;Ver;Andrija Bulatović;11;12;12;11;13;12;13;11
-;Vin;Nicholas Pierini;13;13;12;8;14;13;12;11
