Aufgestellt;Info;Spieler;Ecken;Flanken;Abschluss;Ballannahme;Freistöße;Kopfballtechnik;Weitschüsse;Weite Einwürfe;Passen;Elfmeter;Tackling;Technik
TW;;Florian Kastenmeier;2;3;1;12;5;7;2;12;13;13;3;13
V (R);;Ilario Monterisi;5;12;8;12;3;15;12;7;13;4;13;10
V (Z);;Jay Idzes;4;4;7;12;10;15;8;12;13;8;14;11
V (Z);;Tarik Muharemović;4;4;6;11;4;15;4;11;11;6;15;8
V (L);;Ben Chilwell;13;14;7;15;11;13;7;11;13;11;13;13
DM;;Nemanja Matić;10;10;5;16;10;16;11;5;16;12;16;16
M (Z);nEU;Matvey Kislyak;12;11;8;13;12;4;13;5;14;12;13;14
M (Z);;Domenico Berardi;11;14;16;14;14;9;15;4;15;18;7;15
OM (R);;Nestory Irankunda;12;9;8;9;13;7;13;10;8;12;4;11
OM (L);nEU;Silas;8;11;11;11;8;10;11;8;10;14;8;12
ST (Z);;Stefanos Tzimas;7;8;14;13;10;14;11;6;10;13;7;14
E1;;Stefano Turati;4;3;3;13;6;9;3;6;11;3;3;13
E2;;Giacomo Satalino;3;3;2;4;4;4;2;2;6;2;1;5
E3;;Tommaso Barbieri;7;14;10;11;7;10;10;12;13;8;14;12
E4;;Andrea Carboni;6;8;8;12;5;15;5;8;11;5;14;11
E5;Vin;Cas Odenthal;9;11;10;12;8;13;8;10;13;5;14;11
E6;Vin;Ruan Tressoldi;4;5;5;11;5;15;9;10;11;5;15;12
E7;Ver;Almugera Kabar;7;11;7;10;11;12;9;14;9;10;13;10
E8;Vsp;Matteo Francesconi;6;9;9;11;6;11;12;6;12;8;15;11
E9;;Luca Lipani;6;5;8;14;13;13;12;12;13;11;10;13
E11;Zie;Eric da Silva Moreira;11;12;9;14;11;8;10;13;11;11;11;12
E12;;Antonio Vergara;13;12;13;13;13;12;13;5;13;14;9;14
E13;;Mattia Liberali;9;12;8;13;8;7;12;6;14;11;4;14
E14;;Petar Ratkov;10;11;15;12;8;15;10;4;12;9;7;12
E15;;Laurs Skjellerup;4;6;12;12;8;13;11;6;11;11;8;10
-;Ver;Andrija Bulatović;13;12;11;13;12;10;13;6;13;8;12;14
-;Vin;Nicholas Pierini;12;11;13;14;14;8;14;5;14;12;4;15
